Rating,Game,Platform,First Playthrough,Emulator
7,South Park: The Stick of Truth,PC,11h24m,No
7,Spyro - A Hero's Tail,GCN,,Yes
7,Spyro The Dragon,PSX,3h15m14s,Yes
7,Streets of Rage 2,ARCADE,,Yes
7,Styx: Master of Shadows,PC,15h12m,No
7,Super Mario Sunshine,GCN,,Yes
7,The Darkness II,PC,3h19m2s,No
7,The Elder Scrolls V: Skyrim,XBOX360,,No
7,The Forest,PC,15h35m19s,No
7,The Legend of Zelda: The Minish Cap,GBA,11h39m56s,Yes
7,The Stanley Parable,PC,,No
7,The Talos Principle,PC,12h40m4s,No
7,Tomb Raider (2013),PC,9h42m,No
7,Tomb Raider: Anniversary,PC,10h16m39s,No
7,Toy Story 2,N64,3h55m16s,Yes
7,Trine,PC,3h6m50s,No
7,Trine 2,PC,3h24m13s,No
7,Unreal Gold,PC,6h4m7s,No
7,We Were Here,PC,,No
7,Wolfenstein: The New Order,PC,6h55m2s,No
7,Worms 4: Mayhem,PC,4h32m9s,No
7,Yo! Noid 2,PC,2h16m52s,No
7,Yooka-Laylee,PC,14h40m51s,No
6,A Boy and his Blob,PC,9h13m40s,No
6,Assassin's Creed,XBOX360,,No
6,Assassin's Creed: Freedom Cry,PC,2h44m53s,No
6,Assassin's Creed: Revelations,PC,8h41m11s,No
6,Bastion,PC,3h22m1s,No
6,Borderlands,PC,16h18m,No
6,Borderlands 2,PC,19h42m,No
6,Brothers: A Tale of Two Sons,PC,2h16m53s,No
6,Call of Juarez Gunslinger,PC,3h18m,No
6,Chameleon Twist 2,N64,3h4m11s,Yes
6,Crash Bandicoot 2: Cortex Strikes Back,PSX,3h27m2s,Yes
6,Crash Bandicoot: The Wrath of Cortex,GCN,4h3m10s,Yes
6,Donkey Kong: Country,SNES,,Yes
6,F.E.A.R 2,PC,,No
6,Fallout 4,PC,49h,No
6,Far Cry,PC,8h,No
6,Game of Thrones,PC,,No
6,Gothic II: Gold Edition,PC,36h9m50s,No
6,Guacamelee!,PC,6h12m,No
6,Half-Life 2: Episode One,PC,2h13m17s,No
6,Hand of Fate,PC,8h14m16s,No
6,Hard Reset,PC,4h3755s,No
6,Hitman: Absolution,PC,9h18m,No
6,Iggy's Egg Adventure,PC,,No
6,Jak and Daxter (HD),PS3,6h11m7s,No
6,Kingdoms of Amalur: Reckoning,PC,,No
6,Kuru Kuru Kururin,GBA,,Yes
6,LEGO Star Wars: The Complete Saga,XBOX360,,No
6,LEGO: The Hobbit,PC,10h,No
6,LocoRoco,PSP,3h25m,Yes
6,Lucius II,PC,3h57m49s,No
6,Mafia II,PC,,No
6,Mass Effect 3,XBOX360,,No
6,Medal of Honor Heroes 2,PSP,,No
6,Mega Man 2,NES,39m34s,Yes
6,Metal Slug,PC,,No
6,Metal Slug X,PSX,,Yes
6,Metro: Last Light,PC,7h,No
6,Metroid Prime,GCN,18h25m3s,Yes
6,Mirror's Edge,PC,3h30m34s,No
6,OlliOlli2: Welcome to Olliwood,PC,3h,No
6,Pac-Man World 2,GCN,4h22m34s,Yes
6,Portal,PC,2h8m,No
6,Portal Stories: Mel,PC,6h8m,No
6,Psychonauts,PC,9h23m18s,No
6,Ratchet & Clank (HD),PS3,9h15m1s,No
6,Ratchet & Clank: Going Commando (HD),PS3,9h36s54s,No
6,Risen 3 - Titan Lords,PC,16h16m24s,No
6,Saints Row 2,PC,17h,No
6,Seasons after Fall,PC,5h5m2s,No
6,Serious Sam 3: BFE,PC,7h1m35s,No
6,Serious Sam: The First Encounter,PC,7h,No
6,Shadow the Hedgehog,PC,2h28m15s,No
6,Sonic Adventure 2,PC,3h52m9s,No
6,Sonic Adventure DX (Sonic),PC,3h2m22s,No
6,Spectraball,PC,,No
6,Star Fox 64,N64,1h3m17s,Yes
6,Super Mario Bros,NES,15m49s,Yes
6,The Great Circus Mystery Starring Mickey and Minnie,SNES,1h8m1s,Yes
6,The Incredible Adventures of Van Helsing,PC,16h42m,No
6,The Simpsons: Hit & Run,GCN,8h3m57s,Yes
6,Torchlight II,PC,14h54m,No
6,Transistor,PC,3h34m18s,No
6,Trine 3: The Artifacts of Power,PC,3h23m20s,No
6,Ty the Tasmanian Tiger,PC,6h27m10s,No
6,Undertale,PC,7h29m,No
5,Aladdin,SNES,,Yes
5,Brütal Legend,PC,,No
5,Call of Duty: World at War,PC,2h30m,No
5,Castlevania III: Dracula's Curse,NES,,Yes
5,Chameleon Twist,N64,1h22m34s,Yes
5,Dropsy,PC,3h24m22s,No
5,Duke Nukem Forever,PC,5h13m40s,No
5,Fable: The Lost Chapters,PC,10h48m,No
5,Giana Sisters: Twisted Dreams,PC,4h23m31s,No
5,GUN,PC,3h12m32s,No
5,Homefront,PC,3h9m20s,No
5,Injustice: Gods Among Us,PC,2h54m,No
5,Marlow Briggs and the Mask of Death,PC,5h54m,No
5,Ori and the Blind Forest,PC,6h54m,No
5,Prototype,PS3,8h37m14s,No
